"SCCS.Name","PSF.Cluster.Number","OWC","eHRAF.Name","Principle.Authorities","Place.Focus","Ethnographic.Present","Coder","Coding.Date","Revision.Date","ID","EA.ID","PSF.Cluster"
"Wolof","07","MS30","Wolof","Gamble 1957","Upper and Lower Salum, Gambia","1950","Coded by SK and revised by AD",2022-10-05,2023-07-19,21,"Cb02","7"
"Bambara",NA,"FA08","Bambara","1. Henry and Coleman, 19102. Monteil and Looney, 1924","Segou to Bamako on the Niger River","1902","AD",2022-11-11,NA,22,"Ag01",NA
"Tallensi",NA,"FE11","Tallensi","Fortes and Fortes 1936, Fortes 1945, Fortes 1949","Entirety of tribe(Tongo Village, Ghana)","1934","CH",2022-11-08,NA,23,"Ag04",NA
"Songhai",NA,"MS20","Songhai","1. Rouch, 19542. Rouch, 1960","Bamba division","1940","AD",2022-10-24,NA,24,"Cb03",NA
"Fulani",NA,"MS11","Fulani","Dupire 1962a (not listed as match in eHRAF, but PA in SCCS)Dupire 1962b (not listed as match in eHRAF, but PA in SCCS)","Wodaabe of Niger","1951","Coded by DR and revised by AD",2022-10-25,2023-07-19,25,"Cb24",NA
"Hausa","10","MS12","Hausa","Smith et al., 1955","Zazzagawa of Zaria","1900","Resolved between AD and CH",2023-01-09,NA,26,"Cb26","10"
"Massa (Masa)",NA,"FI21","Masa","Garine, I. ","Around Yagoua, in Cameroon","1910","DR",2022-11-28,NA,27,"Ai09",NA
"Azande","5","FO07","Azande","1. Baxter and Butt, 19532. Evans-Pritchard, 19323. Evans-Pritchard, 19564. Evans-Pritchard, 1957a5. Evans-Pritchard, 1957b6. Evans-Pritchard, 19657. Evans-Pritchard, 1971","Yambio chiefdom","1905","AD",2022-10-11,NA,28,"Ai03","5"
"Fur (Darfar)",NA,"MQ08","Fur","Felkin, R. W. (1885)","Jebel Marra","1880","Coded by DR and revised by DR",2022-11-15,NA,29,"Cb17",NA
"Otoro Nuba",NA,"FJ21","Nuba","Nadel, S. F. 1947","Entirety, Nuba Hills Otoro","1930","DR",2022-11-18,NA,30,"Ai10",NA
"Mao",NA,"MP19","Mao","Grottanelli, V. L. 1940 (entire)Cerulli, E. 1956 (partial)","Northern division","1939","Coded by DR and revised by DR",2022-11-02,NA,32,"Ai47",NA
"Masai","011","FL12","Maasai","Hollis 1905, Merker 1910","Kisonko or Southern Masai, Tanzania","1900","Resolved between SK and DR",2023-01-09,NA,34,"Aj02","11"
"Konso",NA,"MP17","Konso","In White 1989: Hallpike 1972, 1970a, 1970b, 1975In eHRAF:Hallpike 1970, 1968, 2008","Town of Buso","1935","Coded by CH and revised by AD",2022-11-07,2023-07-19,35,"Ca01",NA
"Somali","12","MO04","Somali","Lewis, I.M. 1955Lewis, I.M. 1961Drake-Brokman, R.E. 1912","Dolbahanta subtribe","1900","Coded by DR and revised by DR",2022-09-20,2022-12-01,36,"Ca02","12"
"Amhara","017","MP05","Amhara","Messing 1985","Gondar District","1953","SK",2022-11-15,NA,37,"Ca07","17"
"Teda",NA,"MS22","Teda","Chapelle 1957, Cline 1950, Le Coeur 1950, Kronenberg 1958","Nomads of Tibesti","1950","SK",2022-11-08,NA,40,"Cc02",NA
"Riffians",NA,"MX03","Berbers of Morocco","1. Coon, 19312. Pennell, 1987","Entirety, Moroccan","1926","AD",2022-11-08,NA,42,"Cd03",NA
"Egyptians",NA,"MR13","Fellahin","Anmar 1954","Town and environs of Silwa","1950","SK",2022-11-02,NA,43,"Cd02",NA
"Rwala Bedouin",NA,"MD04","Rwala Bedouin","Raswan 1947","Unspecified","1913","SK",2022-10-05,NA,46,"Cj02",NA
"Turks",NA,"MB01","Turks","Helburn 1955, Makal 1954, Pierce 1964, Stirling 1965","Northern Anatolian Plateau","1950","SK",2022-11-04,NA,47,"Ci05",NA
"Irish",NA,"ER06","Rural Irish","Cresswell 1969","Kinvarra Parish, County Clare","1955","DR",2022-10-26,NA,51,"Cg03",NA
"Lapps","20","EP04","Saami","Pehrson 1957","Konkama, Sweden","1950","Coded by DR and revised by DR",2022-11-25,NA,52,"Cg04","20"
"Yurak Samoyed",NA,"RU41","Nenets","Engelhardt and Cooke, A. 1899Islavin, V. 1846","Entirety, tribe.","1894","DR",2022-11-16,NA,53,"Ec04",NA
"Russians",NA,"RF10","Russians","Benet, S. 1970Dunn, S. P. 1963Dunn, S.P. 1988","Viritatino village","1955","Coded by DR and revised by DR",2022-10-04,NA,54,"Ch11",NA
"Abkhaz",NA,"RI03","Abkhazians","Janasvili 1894","Entirety: tribe","1880","SK",2022-11-08,NA,55,"Ci12",NA
"Cill Kurd","21","MA11","Kurds","2. Leach, 19403. Masters, 1953","Town and vicinity of Rowanduz","1951","AD",2022-10-31,NA,57,"Ci11","21"
